Product URL,Product Name,Product Price,Rating,Number of reviews,Manufacturer,Product Description,ASIN,
https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1679991815&sprefix=ba%2Caps%2C283&sr=8-7,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹849.00,3.9 out of 5 stars,"2,376 ratings",Amazing Bags,"This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",B0BJ32LQ6X,
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1679991815&sprefix=ba%2Caps%2C283&sr=8-8,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","₹1,099.00",4.1 out of 5 stars,15 ratings,EXPERTS,"A backpack isn’t just a bag. It’s a cache, a case, a mobile base of sorts. And it is a reflection of the care you’ve put into selecting the ideal loadout of items to keep on you. Introducing Valex, a modern everyday backpacks collections are available in a variety of nice looking colours to express your true self",B0BTD4FK9G,
https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BLVQ9NTD/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1679991815&sprefix=ba%2Caps%2C283&sr=8-9,Half Moon Strike 35L Unisex Spacious School/Laptop/College/Office Travel Backpack Bag for Men Women Boys & Girls with 15.6 inch Padded Laptop Compartment & Multiple Pockets,699,3.7 out of 5 stars,131 ratings,Half_Moon (AB Amazing Bags),"A super-slim design, trendy looks and durable construction - this stylish 35 L backpack from Half Moon has got everything that will complement your youthful personality. With its spacious interiors, this unisex backpack is a great option for short road trips, college and work. Ergonomic design Crafted from polyester, this medium backpack is sturdy enough to withstand regular wear and tear gracefully. It features a cushioned base and internal back padding to offer you extra comfort. The padded shoulder straps of this bag can be easily adjusted according to your liking. Spacious Featuring one front pocket and three main compartments, all with speciality zippers, this bag offers you enough space to carry your books, files, coins, travel accessories, stationery, keys and mobile accessories. It comes with the Half Moon promise of quality.",B0BLVQ9NTD,
https://www.amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1679991815&sprefix=ba%2Caps%2C283&sr=8-10,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,₹899.00,3.9 out of 5 stars,"9,108 ratings","Akshaya Rubbers, Hebbal Industrial Area, Mysore","MADE IN INDIA - This “MAKE IN INDIA” Laptop bag for men features 3 large zippered compartments, 1 zip pocket at front, 2 side bottle pockets. This is a perfect laptop, office, school, college bag for men, women, boys and girls. In deed a perfect all-rounder backpack for men, school bags for boys and girls, College bag for boys and college bag for girls, office bag for men and women.    LAPTOP BAG FEATURES - Compartment Description: Up To 15 Inches; Style Name: Casual Backpack for men. Capacity: 48 liters. Size: 20 inch X 13.5 inch X 9.5 inch.    WATER RESISTANT – This laptop bag for men is stylish and durable unisex travel laptop backpack that is your perfect travel partner. School bags for boys is made of high-grade water-resistant polyester material that gives it strength and durable for long-term use. 12 months warranty for any manufacturing defects.    PADDED LAPTOP SLEEVE AND INTERNAL ORGANISER : Padded Laptop backpack for men has sleeve with holder to secure upto 15.6"" Laptops. This office bag for men is compatible with laptops like HP / Lenovo / Acer / ASUS / Dell. Internal organiser to neatly organise and store your keys, cables, stationary and other valuables from theft.    1 YEAR WARRANTY - We offer 1 Year warranty for any manufacturing defects; BEST BACK SUPPORT - We have designed this laptop bag for men to keep your comfort in mind. Shoulder has 12MM high density padding, with 3D ventilated air foam padding to prevent sweating when you use the bag; Pattern Name: Solid; Age Range Description: Adult; Color Name: Black; Special Features: Laptop Compartment; Pattern Name: Solid; Age Range Description: Adult",B08YZ8FFBZ,
https://www.amazon.in/Blue-Tree-Velvet-Spiderman-School/dp/B07HLYW3FF/ref=sxin_25_trfob_0_B07HLYW3FF?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07HLYW3FF&pd_rd_r=83aefabb-ab35-4423-b4cf-342ff889b23f&pd_rd_w=d92Do&pd_rd_wg=BXxgS&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=50FA28ZXJ2538H57ZVCM&qid=1679991815&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-1-cc7a04fe-cc55-42ad-b883-1b910070c86a,Blue Tree 10 Ltrs ( Cms)Backpack(Bluetree_Backpacks_034_Multi Colour),₹288.00,4.0 out of 5 stars,"1,062 ratings",23 September 2018,"Non-Toxic And Soft Fabric good quality and Washable; Soft And Cuddly Filling, Made By India And Printed Bag     Very Attractive To Make You Have A Good Feeling All The Time,; Gift this soft, smooth and cuddly teddy as a great gift to your loved one     Soft Toy School Bag For Kids, Travelling Bag, Carry Bag, Picnic Bag, Teddy Bag; Color Name: Multi Colour     Strap Type: Shoulder Strap; Water Resistance Level: Water Resistant     Material Type: Velvet",Blue Tree,
https://www.amazon.in/Backpack-Toddler-Animal-Cartoon-Travel/dp/B09H3H3898/ref=sxin_25_trfob_1_B09H3H3898?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09H3H3898&pd_rd_r=83aefabb-ab35-4423-b4cf-342ff889b23f&pd_rd_w=d92Do&pd_rd_wg=BXxgS&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=50FA28ZXJ2538H57ZVCM&qid=1679991815&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-2-cc7a04fe-cc55-42ad-b883-1b910070c86a,blue tree 10 ltrs (5 Cms)Backpack(Rider01_Yellow),₹288.00,4.0 out of 5 stars,69 ratings,Vancouver Store,"?DIMENSION:15x3.5x12inch/38x8x30cm(WxDxH).Weight:0.32kg/0.7lb. Front Pocket:12x9inch/30x23cm(WxH) Soft adjustable & breathable shoulder straps:8inch-20.8inch/20cm-53cm.     ? CUTE DESIGN:Made of super soft plush material and high quality smooth zipper accessories. Small backpack suitable for toddler baby kids girl and boy between 1-6 years old.     ? SPACIOUS:The toddler backpack presents a main compartment with cotton interior, which is large capacity and long-lasting. Perfectly for keeping and organizing books, toys, pencils and snacks, etc. With the matching pullers and smooth zippers, children could open and close the backpack easily. The front pocket is for keeping the small stuffs easy to reach.     ? Material:Non-Toxic And Soft Fabric good quality and Washable Soft And Cuddly Filling, Made By India And Embroidery Bag; ? Great Gift:Cute and Cool animal toddler school backpacks, Great Gift for kids with Lovely animal attractive design, Perfect for children going out for travel, preschool and Daycare center.     Closure Type: Buckle",B09H3H3898,
https://www.amazon.in/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB5DP5Y/ref=sxin_25_trfob_2_B09SB5DP5Y?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09SB5DP5Y&pd_rd_r=83aefabb-ab35-4423-b4cf-342ff889b23f&pd_rd_w=d92Do&pd_rd_wg=BXxgS&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=50FA28ZXJ2538H57ZVCM&qid=1679991815&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-3-cc7a04fe-cc55-42ad-b883-1b910070c86a,"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent",439,4.2 out of 5 stars,50 ratings,B09SB5DP5Y,"About this item    MULTIPLE USAGE: Drawstring plastic bag is designed in a way to be useful for many functions. Use it as drawstring shoe bag, clear gift bags for favors, traveling. Pack everything in clear plastic bags (packing toys, stationery, shoes, clothes, cosmetics) and keep it safely and comfortably!    PLASTIC TRAVEL BAGS: Travel shoe bags for packing are unprinted and feature impressive durability, so you can use clear drawstring bag as main means of storing for personal and business purposes.    HIGH QUALITY MATERIAL- The PE storage bags are made of high quality Chlorinated Polyethylene (CPE) sheet which is famed for its good features . the translucent feature helps us to easily view what is inside the bag    KEY FEATURES- Package Includes 2 Pcs Travel Plastic Bags , the quality drawstring plastic bags have flat edges with a 16"" height and 11"" width plus an extra 2"" bottom gusset.it has 2 cotton strings to pull and secure the bag and the contents.    CONVENIENT TO USE- Each drawstring bag comes with two flat satin drawstrings on both ends, making the bags open or close conveniently,and you can also be easy to carry your items in them with the strings.",Draw String Bag 30x40 set of 10,
https://www.amazon.in/School-Backpack-Cartoon-Travel-Toddler/dp/B08WWG91Q3/ref=sxin_25_trfob_3_B08WWG91Q3?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08WWG91Q3&pd_rd_r=83aefabb-ab35-4423-b4cf-342ff889b23f&pd_rd_w=d92Do&pd_rd_wg=BXxgS&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=50FA28ZXJ2538H57ZVCM&qid=1679991815&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-4-cc7a04fe-cc55-42ad-b883-1b910070c86a,Blue Tree Kids School Bag Soft Plush Backpack Combo Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby (Pack of 2),₹435.00,4.0 out of 5 stars,4 ratings,Blue Tree,"Blue Tree Cute Kids Backpack Is A Perfect Backpack For Toddlers Or Kids Headed To Preschool, Daycare, Hiking, And Day Trips. This Bag Is Made Up Of High-Quality Finest Material Which Is Soft To Touch, Cute And Adorable, Perfect-Size For Little Ones, This Perfectly-Sized Zoo Pack Feature A Friendly Animal Face, Top Hanging Loop, Crafted Details. The Cartoon Backpack Is The Best Gift For Kids. Every Little Kid Wants Cute, Cool Animal Toddler Backpacks. Lovely Animals Attractive Design, Bright And Multi-Color. It Is Very Soft And Lightweight. The Super Lightweight Makes Your Kids Easy To Carry Around. The Padded Shoulder Straps Are Also Adjustable, Making Them Comfy For Little Shoulders.",B08WWG91Q3,
https://www.amazon.in/School-Backpack-Cartoon-Travel-Toddler/dp/B08WWTHLTF/ref=sxin_25_trfob_4_B08WWTHLTF?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08WWTHLTF&pd_rd_r=83aefabb-ab35-4423-b4cf-342ff889b23f&pd_rd_w=d92Do&pd_rd_wg=BXxgS&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=50FA28ZXJ2538H57ZVCM&qid=1679991815&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-5-cc7a04fe-cc55-42ad-b883-1b910070c86a,Blue Tree Kids School Bag Soft Plush Backpack Combo Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby (Pack of 2),₹435.00,5.0 out of 5 stars,1 rating,Blue Tree,"Blue Tree Cute Kids Backpack Is A Perfect Backpack For Toddlers Or Kids Headed To Preschool, Daycare, Hiking, And Day Trips. This Bag Is Made Up Of High-Quality Finest Material Which Is Soft To Touch, Cute And Adorable, Perfect-Size For Little Ones, This Perfectly-Sized Zoo Pack Feature A Friendly Animal Face, Top Hanging Loop, Crafted Details. The Cartoon Backpack Is The Best Gift For Kids. Every Little Kid Wants Cute, Cool Animal Toddler Backpacks. Lovely Animals Attractive Design, Bright And Multi-Color. It Is Very Soft And Lightweight. The Super Lightweight Makes Your Kids Easy To Carry Around. The Padded Shoulder Straps Are Also Adjustable, Making Them Comfy For Little Shoulders.",B08WWTHLTF,
https://www.amazon.in/Amazon-Brand-Solimo-so_flingyrqba_4-Gym/dp/B084DPRRRR/ref=sxin_25_trfob_5_B084DPRRRR?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B084DPRRRR&pd_rd_r=83aefabb-ab35-4423-b4cf-342ff889b23f&pd_rd_w=d92Do&pd_rd_wg=BXxgS&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=50FA28ZXJ2538H57ZVCM&qid=1679991815&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-6-cc7a04fe-cc55-42ad-b883-1b910070c86a,Amazon Brand - Solimo Polyester Duffel Gym Bag with Shoe Compartment,₹579.00,4.2 out of 5 stars,101 ratings,,"From workout gear, fitness accessories and gym essentials, you have place for everything with the Solimo Polyester Duffel Gym Bag. This exercise companion is made of 100% polyester fabric that is water repellant. With a high-quality zipper performing 500 test cycles and a total of 19 individual product tests, this duffel gym bag is quality built. You have place for your gym towel, spare set of clothes, shoes, water bottle, protein shaker as well gym bands, grips and accessories. The Solimo Polyester Duffel Gym Bag is spaciously designed and comes in a stylish red colour. With a shoulder strap and haul handles you can decide on a convenient carrying option. A separate shoe compartment keeps your gym shoes away from other items in your bag. When your hands are full, a key compartment comes handy for easy access. This duffel gym bag is ideal for teenagers and adults, and is suited for gym and exercise activities, weekend getaways and light travels.",,
